ID , size, flexibility, selection, target, success, time, ,,
154,1,12,33,4,4,1,0.4274157,,
154,1,12,33,3,2,0,0.5340525,,
154,1,12,33,8,7,0,0.7041486,,
ID , flexibility, size, round, selection, target, success, time, ,
ID , flexibility, size, round, selection, target, success, time, ,
154,1,4,1,4,4,1,0.6619607,,
154,1,4,1,1,1,1,1.109094,,
154,1,4,1,2,2,1,0.620383,,
154,1,4,1,3,3,1,0.6497391,,
154,1,4,2,1,1,1,0.6024575,,
154,1,4,2,3,3,1,0.5385975,,
154,1,4,2,4,4,1,0.4893399,,
154,1,4,2,2,2,1,0.6650001,,
ID , flexibility, size, round, selection, target, success, time, ,
154,1,12,2,1,1,1,0.7276182,,
154,1,12,2,2,6,0,0.5874378,,
154,1,12,2,2,5,0,0.4687382,,
154,1,12,2,2,2,1,0.4099607,,
154,1,12,2,2,7,0,0.5130235,,
154,1,12,2,2,9,0,0.44926,,
154,1,12,2,2,11,0,0.4273781,,
154,1,12,2,3,8,0,0.3581272,,
154,1,12,2,3,12,0,0.4570349,,
154,1,12,2,3,3,1,0.4586754,,
154,1,12,2,4,4,1,0.4714344,,
154,1,12,2,4,10,0,0.493947,,
ID , flexibility, size, round, selection, target, success, time, ,
154,1,8,1,2,2,1,0.6918407,,
154,1,8,1,7,6,0,0.6066284,,
154,1,8,1,3,3,1,0.5292239,,
154,1,8,1,5,5,1,0.5759249,,
154,1,8,1,1,1,1,0.5685347,,
154,1,8,1,1,8,0,0.3973598,,
154,1,8,1,8,7,0,0.3655704,,
154,1,8,1,7,4,0,0.3515287,,
154,1,8,2,6,5,0,0.6837556,,
154,1,8,2,7,7,1,0.4991973,,
154,1,8,2,8,8,1,0.4736407,,
154,1,8,2,8,1,0,0.3939354,,
154,1,8,2,2,2,1,0.4334265,,
154,1,8,2,3,3,1,0.4528489,,
154,1,8,2,4,4,1,0.4644194,,
154,1,8,2,5,6,0,0.5615621,,
ID , flexibility, size, round, selection, target, success, time, ,
ID , flexibility, size, round, selection, target, success, time, ,
ID , flexibility, size, round, selection, target, success, time, ,
ID , flexibility, size, round, selection, target, success, time, ,
154,1,8,1,7,7,1,0.7844852,,
154,1,8,1,2,2,1,1.068336,,
154,1,8,1,6,5,0,0.682696,,
154,1,8,1,1,8,0,0.6479799,,
154,1,8,1,6,6,1,0.6060226,,
154,1,8,1,4,3,0,0.7799832,,
154,1,8,1,5,4,0,0.6638778,,
154,1,8,1,2,1,0,0.7055354,,
154,1,8,2,5,4,0,0.6094681,,
154,1,8,2,3,5,0,0.8496403,,
154,1,8,2,2,8,0,0.5780613,,
154,1,8,2,1,1,1,0.5188764,,
154,1,8,2,3,3,1,0.5947446,,
154,1,8,2,2,7,0,1.111215,,
154,1,8,2,2,2,1,0.6484065,,
154,1,8,2,6,6,1,0.8081343,,
ID , flexibility, size, round, selection, target, success, time, ,
154,1,8,2,6,4,0,0.5785694,,
154,1,12,3,8,7,0,0.8494734,,
154,1,12,3,11,4,0,0.7278686,,
154,1,12,3,7,6,0,2.069201,,
154,1,12,3,9,8,0,0.6270155,,
154,1,12,3,12,3,0,0.6945161,,
154,1,12,3,11,5,0,0.4515813,,
154,1,12,3,11,11,1,0.4348126,,
154,1,12,3,11,9,0,0.3443486,,
154,1,12,3,10,1,0,0.3213323,,
154,1,12,3,11,10,0,0.314252,,
154,1,12,3,11,12,0,0.3574529,,
154,1,12,3,11,2,0,0.3059102,,
154,1,12,4,10,6,0,0.4841615,,
154,1,12,4,11,11,1,0.3039033,,
154,1,12,4,11,10,0,0.2894503,,
154,1,12,4,11,3,0,0.272772,,
154,1,12,4,11,4,0,0.353748,,
154,1,12,4,11,9,0,0.2332228,,
154,1,12,4,10,12,0,0.3109679,,
154,1,12,4,11,1,0,0.3247218,,
154,1,12,4,11,7,0,0.320014,,
154,1,12,4,11,5,0,0.3177535,,
154,1,12,4,11,2,0,0.3279287,,
154,1,12,4,10,8,0,0.2642946,,
154,1,4,5,4,2,0,0.4897471,,
154,1,4,5,4,4,1,0.4589055,,
154,1,4,5,4,1,0,0.4277601,,
154,1,4,5,4,3,0,0.3766035,,
154,1,4,6,4,4,1,0.4170376,,
154,1,4,6,3,3,1,0.4083331,,
154,1,4,6,3,1,0,0.4691304,,
154,1,4,6,3,2,0,0.4054864,,
154,1,4,7,4,2,0,0.5455799,,
154,1,4,7,4,4,1,0.43994,,
154,1,4,7,1,3,0,0.4156502,,
154,1,4,7,4,1,0,0.4148944,,
154,1,4,8,4,4,1,0.3622506,,
154,1,4,8,4,2,0,0.259561,,
154,1,4,8,4,1,0,0.3073376,,
