date, time, id , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
2019-09-25,11:02:11 PM,22, 4,12,8,1,7,4, 4, 1, 0.7001831
2019-09-25,11:02:12 PM,22, 4,12,8,1,8,6, 5, 0, 0.6569889
2019-09-25,11:02:12 PM,22, 4,12,8,1,8,0, 0, AVERAGE, 0.8203403
2019-09-25,11:02:15 PM,22, 4,12,8,2,9,2, 2, 1, 0.7890439
date, time, id , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
2019-09-25,11:03:24 PM,22, 4,12,4,1,1,2, 2, 1, 0.781145
2019-09-25,11:03:25 PM,22, 4,12,4,1,2,4, 4, 1, 0.4798293
2019-09-25,11:03:27 PM,22, 4,12,4,1,3,1, 1, 1, 0.4953557
2019-09-25,11:03:28 PM,22, 4,12,4,1,4,3, 3, 1, 0.6143422
2019-09-25,11:03:28 PM,22, 4,12,4,1,4,0, 0, AVERAGE, 0.5926681
date, time, id , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
2019-09-25,11:04:28 PM,22, 4,12,8,1,1,6, 1, 0, 0.42938
date, time, id , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
2019-09-25,11:05:14 PM,22, 4,12,8,1,1,1, 1, 1, 1.504575
date, time, id , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
2019-09-25,11:06:19 PM,22, 4,12,12,1,1,10, 1, 0, 0.3298699
2019-09-25,11:06:20 PM,22, 4,12,12,1,2,1, 5, 0, 0.3059084
2019-09-25,11:06:24 PM,22, 4,12,12,1,3,8, 8, 1, 0.7884607
2019-09-25,11:06:25 PM,22, 4,12,12,1,4,2, 2, 1, 0.6628081
2019-09-25,11:06:33 PM,22, 4,12,12,1,5,9, 7, 0, 0.4757319
date, time, id , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
2019-09-25,11:06:56 PM,22, 4,12,12,1,1,10, 10, 1, 0.7384282
2019-09-25,11:06:59 PM,22, 4,12,12,1,2,1, 1, 1, 1.443807
date, time, id , flexibility, sensitivity, size, round, count, selection, target, success, timeTaken, 
2019-09-25,11:07:52 PM,22, 4,12,8,1,1,2, 2, 1, 1.78026
